"CODEMPRESA","PROCESSO","DATA","DESCRICAO","DOCUMENTO","INTERNET","ID","DTMAX","IMPMEMO","IMPRESSAO"
6,"00833647820118260002","01/02/2013","FOLHAS 60 TAL PROVIDENCIA SAVE A ANALISE DO OFICIAL DE JUSTIÇA. DIGAM EM PROSSEGUIMENTO. PROTOCOLAMOS PETIÇÃO REQUERENDO QUE O OFICIAL RETORNE AO PREDIO E TENTE CITAR FERNANDO.","","True",168,"","","True"
6,"00833647820118260002","04/03/2013","JUNTADA DE PETIÇÃO 28/03.","","True",169,"","","True"
6,"00833647820118260002","14/05/2013","MANDADO COM OFICIAL 13/05.","","True",170,"","","True"
6,"00833647820118260002","16/07/2013","OFICIAL DE JUSTIÇA CITOU FERNANDO EM DATA DE 10/07.","","True",171,"","","True"
6,"00833647820118260002","15/08/2013","PROTOCOLAMOS PETIÇÃO REQUERENDO LOCALIZAÇÃO DO ENDEREÇO DA EMPRESA VIA BANCO CENTRAL. JUNTEI CUSTAS.","","True",172,"","","True"
6,"00833647820118260002","27/01/2014","PROTOCOLADA PETIÇÃO REITEREANDO A PETIÇÃO DE 15/08/13.","","True",173,"","","True"
6,"00833647820118260002","27/03/2014","PROTOCOLAMOS PETIÇÃO REITERANDO PELA 2º VEZ A PETIÇÃO DE 15/08.","","True",174,"","","True"
6,"00833647820118260002","26/05/2014","PROTOCOLAMOS PETIÇÃO REITERANDO PETIÇÕES JA PROTOCOLADAS.","","True",175,"","","True"
6,"00833647820118260002","26/06/2014","CONCLUSÃO 25/06.","","True",176,"","","True"
6,"00833647820118260002","07/07/2014","MANIFESTE-SE O EXEQUENTE SOBRE AS INFORMAÇÕES DO BANCO CENTRAL.","","True",177,"","","True"
6,"00833647820118260002","10/07/2014","TENDO EM VISTA O RESULTADO INFRUTIFERO PERANTE AO BANCO CENTRAL, MANIFESTE-SE.","","True",178,"","","True"
6,"00833647820118260002","11/07/2014","PROTOCOLAMOS PETIÇÃO REQUERENDO CITAÇÃO POR EDITAL DA CRUZ BAROCHILO.","","True",179,"","","True"
6,"00833647820118260002","26/09/2014","JUNTADA DE PETIÇÃO 24/09.","","True",180,"","","True"
6,"00833647820118260002","26/11/2014","DEFIRO A CITAÇÃO POR EDITAL.","","True",181,"","","True"
6,"00833647820118260002","13/01/2015","EXEQUENTE RECOLHER R$ 113,10 DO EDITAL.
MESA DO DIRETOR.","","True",182,"","","True"
6,"00833647820118260002","18/03/2015","PROTOCOLAMOS PETIÇÃO REQUERENDO NOMEAÇÃO DE CURADOR ESPECIAL, UMA VEZ QUE A EMPRESA FOI CITADA POR EDITAL.","","True",183,"","","True"
6,"00833647820118260002","03/06/2015","JUNTADA DE PETIÇÃO.","","True",184,"","","True"
6,"00833647820118260002","22/07/2015","PROTOCOLAMOS PETIÇÃO JUNTANDO CUSTAS DE EDITAL R$ 363,10.","","True",185,"","","True"
6,"00833647820118260002","11/08/2015","PROTOCOLAMOS PETIÇÃO REITERANDO PETIÇÃO DE MARÇO/2015.","","True",186,"","","True"
6,"00833647820118260002","20/08/2015","FILA DE CONCLUSÃO 13/08.","","True",187,"","","True"
6,"00833647820118260002","09/09/2015","DO. SALIENTO INDICAR CURADOR ESPECIAL EM FAVOR DE CRUZ B. PARTICIPAÇÕES, TENDO EM VISTA QUE FOI CITADO POR EDITAL.","","True",188,"","","True"
6,"00833647820118260002","19/10/2015","DO. Defiro a vista ao curador especial, para apresentar a defesa cabível, em 15 dias, sob pena de destituição.","","True",189,"","","True"
6,"00833647820118260002","09/11/2015","AUTOS COM ADVOGADO DO RÉU","","True",190,"","","True"
6,"00833647820118260002","14/11/2015","PROTOCOLAMOS REPLICA A CONTESTAÇÃO DO CURADOR ESPECIAL.","","True",191,"","","True"
6,"00833647820118260002","18/11/2015","DEVOLVIDO PROCESSO PELO CURADOR 11/11","","True",192,"","","True"
6,"00833647820118260002","27/11/2015","NÃO TEM NENHUMA CONTESTAÇÃO JUNTADA","","True",193,"","","True"
6,"00833647820118260002","15/02/2016","FILA CONCLUSÃO 12/02","","True",194,"","","True"
6,"00833647820118260002","29/02/2016","DO SENTENÇA. Reconheço a ilegitimidade passiva em relação ao requerido ""Cruz Barochelo""e julgo procedente em relação ao Fernado, condenando nas parcelas vencidas e vincendas, com multa de 2%,c.m juros e honorarios 10%","","True",195,"","","True"
6,"00833647820118260002","22/03/2016","PROTOCOLAMOS PETIÇÃO REQUERENDO EXECUÇÃO DE SENTENÇA E PENHORA DO APARTAMENTO.","","True",196,"","","True"
6,"00833647820118260002","14/04/2016","JUNTADA DE PETIÇÃO 13/04","","True",197,"","","True"
6,"00833647820118260002","04/05/2016","MESA DO ESCREVENTE 15/04","","True",198,"","","True"
6,"00833647820118260002","21/06/2016","MESA DO ESCREVENTE 13/06.","","True",199,"","","True"
6,"00833647820118260002","30/06/2016","CONCLUSÃO","","True",200,"","","True"
6,"00833647820118260002","13/07/2016","DO.A fase de cumprimento de sentença proferida em processos físicos deverá se dar por peticionamento eletrônico, instruído com as seguintes peças:sentença e acórdão, se existente; certidão de trânsito em julgado, se o caso; demonstrativo do débito atualizado.
Protocolamos petição requerendo execução de sentença por peticionamento eletronico juntando calculo e custas para intimação do Fernando e matricula atualizada para penhora.","","True",201,"","","True"
6,"00833647820118260002","27/07/2016","PROTOCOLAMOS PETIÇÃO REQUERENDO CUMPRIMENTO DE SENTENÇA.","","True",202,"","","True"
6,"00833647820118260002","02/08/2016","CONCLUSÃO 28/08.","","True",203,"","","True"
6,"00833647820118260002","08/08/2016","DO. A inicial não se encontra devidamente instruída, como já advertido nos autos físicos, devendo o autor comprovar o trânsito em julgado da sentença.","","True",204,"","","True"
6,"00833647820118260002","10/08/2016","PROTOCOLAMOS PETIÇÃO REQUERENDO JUNTADA DA CERTIDÃO DE TRANSITO EM JULGADO.","","True",205,"","","True"
6,"00833647820118260002","19/09/2016","INTIME O DEVEDOR VIA POSTAL PARA PAGAR O DEBITO EM 15 DIAS SOB PENA DE MULTA E HONORARIOS 10%.","","True",206,"","","True"
6,"00833647820118260002","21/09/2016","CARTA DE INTIMAÇÃO EXPEDIDA 20/09.","","True",207,"","","True"
6,"00833647820118260002","06/10/2016","JUNTANDO AR POSITIVO 05/10.","","True",208,"","","True"
6,"00833647820118260002","03/11/2016","PROTOCOLAMOS PETIÇÃO REQUERANDO PENHORA ON-LINE. JUNTEI CALCULO E CUSTAS.","","True",209,"","","True"
6,"00833647820118260002","16/01/2017","SALA DO JUIZ.","","True",210,"","","True"
6,"00833647820118260002","31/01/2017","DO. TENDO EM VISTO O RESULTADO NEGATIVO. MANIFESTE-SE EM 05 DIAS.
PROTOCOLAMOS PETIÇÃO REQUERENDO PENHORA DO APARTAMENTO.","","True",211,"","","True"
6,"00833647820118260002","28/03/2017","PROTOCOLAMOS PETIÇÃO REITERANDO A PETIÇÃO DE PENHORA DAS VINCENDAS DO APARTAMENTO.","","True",212,"","","True"
6,"00833647820118260002","30/03/2017","Fl. 36: DEFIRO a penhora dos direitos que o executado Fernando Carlos de Mello Leitão Calabria sobre o imóvel registrado no 15º Cartório de Registro de Imóveis da Capital sob a matrícula nº 143.870. Serve a presente decisão como Termo de Penhora. Nomeio o executado como fiel depositário, que deve ser intimado pessoalmente, já que não constituiu advogado. Intime-se a promitente-vendedora Cruz Barochelo para conhecimento da constrição.
Protocolamos petição requerendo intimação postal do Fernando e por edital de Cruz Barrichelo. Juntei calculo.","","True",213,"","","True"
6,"00833647820118260002","20/04/2017","PROTOCOLAMOS PETIÇÃO REQUERENDO QUE O JUIZ DE A PENHORA DO APARTAMENTO E NÃO SÓ DOS DIREITOS.","","True",214,"","","True"
6,"00833647820118260002","22/06/2017","MANTENHO A DECISÃO POIS A CRUZ BARICHELLO É MERA PROMITENTE COMPRADORA DE MODO QUE A PENHORA RECAI SOBRE OS OUTROS. CUMPRA FLS. 37.","","True",215,"","","True"
6,"00833647820118260002","08/08/2017","PROT PET NOMEAÇÃO DE PERITO PERICIAL","","True",216,"","","True"
6,"00833647820118260002","21/08/2017","EXPEDIDA CARTA DE INTIMAÇÃO DA PENHORA PARA FERNANDO CALABRIA","","True",217,"","","True"
6,"00833647820118260002","30/08/2017","JUNTADO AR POSITIVO EM 29/08/2017","","True",218,"","","True"
6,"00833647820118260002","20/09/2017","PROTOCOLAMOS PETIÇÃO REQUERENDO NOMEAÇÃO DE PERITO E O REGISTRO DA PENHORA PELA ARISP.","","True",219,"","","True"
6,"00833647820118260002","06/11/2017","DO INDEFIRO A PENHORA DO APT POIS A MATRICULA NÃO ESTÁ EM NOME DE DENISE.","","True",220,"","","True"
6,"00833647820118260002","09/11/2017","INGRESSAMOS COM AGRAVO DE INSTRUMENTO PARA REVERTER O DESPACHO DO JUIZ - PROCE NO. 2218582-40.2017.8.26.0000","","True",221,"","","True"
6,"00833647820118260002","27/11/2017","DO NOMEIO AFONSO RAFAELLE PARA ESTIMAR OS HONORARIOS. DEFIRO A PENHORA VIA ARISP","","True",222,"","","True"
6,"00833647820118260002","06/02/2018","PROT PET JUNTANDO HONORARIOS DO PERITO","","True",223,"","","True"
6,"00833647820118260002","07/03/2018","IMOVEL AVALIADO EM R$ 1.025.000,00","","True",224,"","","True"
6,"00833647820118260002","02/04/2018","PROT PET REQUERENDO O REGULAR ANDAMENTO DO PROCESSO ","","True",225,"","","True"
6,"00833647820118260002","18/04/2018","FIZ RECLAMAÇÃO NA OUVIDORIA 2018/00062835","","True",226,"","","True"
